vote_intention,age,sex,education,income,party_id,party_id_str,party_id_imp,ideology,feeling_democrat,feeling_republican,political_knowledge_intro,political_knowledge_catch1,political_knowledge_catch_feedback,political_knowledge_senate_term,political_knowledge_least_spending,political_knowledge_house_majority,political_knowledge_senate_majority,political_interest,follow_politics_media,understand_issues
1,55,1,3,8,1,1,2,6,100,10,1,1955,-1,0,0,0,1,2,2,2
2,72,1,3,18,3,5,2,6,15,70,1,1998,-1,1,1,1,1,2,2,2
1,71,1,3,7,1,1,1,4,100,0,1,1900,-1,0,0,1,1,1,2,1
1,70,0,4,5,1,1,4,2,70,0,1,1960,-1,1,0,1,1,1,2,1
1,38,0,5,16,3,4,3,5,50,50,1,1968,-1,1,0,1,0,2,2,2
1,44,1,5,16,1,1,2,2,90,0,1,1900,-1,1,1,1,1,1,1,1
1,43,0,5,22,1,1,3,2,85,30,1,1960,-1,0,0,1,1,1,2,2
1,61,0,3,1,3,3,3,2,60,0,1,1900,-1,0,0,1,1,2,2,2
2,61,0,3,11,2,6,4,7,40,60,1,1998,-1,1,0,1,1,1,1,2
1,23,1,4,19,1,1,2,2,85,0,1,1920,-1,1,1,0,1,3,3,1
2,39,0,5,21,2,7,5,6,0,85,1,1987,-1,0,0,0,1,3,3,3
2,60,0,3,6,3,5,3,5,50,60,1,1960,-1,1,1,0,1,2,2,1
1,43,1,4,17,3,3,4,2,70,0,1,1965,-1,0,0,1,1,2,2,1
1,21,1,3,1,3,3,4,3,30,30,1,1992,-1,0,0,1,0,2,2,3
1,46,0,4,16,1,1,4,3,85,0,1,1973,-1,1,0,1,1,3,3,2
1,67,0,3,1,1,1,2,3,-9,-9,1,1930,-1,1,0,1,1,1,1,2
1,73,1,3,4,3,4,5,3,50,50,1,1977,-1,0,0,0,0,3,3,2
2,80,1,4,2,2,7,2,5,30,85,1,1890,-1,0,1,1,1,3,2,2
2,77,1,2,7,2,7,4,6,0,100,2,1966,-1,1,0,1,1,2,4,4
2,29,0,5,13,2,6,3,6,15,70,1,1872,-1,1,0,1,1,2,2,2
2,42,1,3,12,3,4,5,5,50,60,1,1945,-1,0,0,0,1,2,2,2
1,43,1,2,17,3,4,1,4,50,0,1,1799,-1,0,0,1,1,1,1,2
1,49,0,4,19,1,1,3,5,100,50,1,1980,-1,0,0,0,1,1,1,1
1,39,0,5,15,1,1,2,2,70,40,1,1979,-1,0,0,1,0,3,2,3
1,73,0,3,22,1,1,1,2,85,0,1,1990,-1,0,1,1,1,1,1,2
2,26,0,2,22,3,5,3,6,0,70,1,1900,-1,0,0,1,1,1,2,2
2,59,0,2,1,1,2,5,4,-9,50,1,1911,-1,0,0,1,0,3,3,3
1,56,0,5,20,1,1,2,2,85,40,1,2000,-1,0,1,1,1,2,2,2
2,32,1,5,21,2,7,3,6,0,70,1,1923,-1,0,0,1,1,1,2,2
1,34,0,5,20,1,2,3,3,70,35,1,2000,-1,1,0,1,1,2,3,2
1,27,1,4,6,1,1,5,2,85,25,1,1896,1,0,1,1,1,3,4,2
2,74,1,2,22,2,7,2,6,0,100,1,1896,1,0,1,0,1,2,2,2
2,64,0,3,8,2,7,3,5,0,85,1,1934,-1,0,0,1,1,2,2,1
2,80,1,2,9,2,7,2,6,30,85,1,1937,-1,1,1,1,1,2,2,2
2,58,1,5,21,3,5,5,5,10,80,1,1972,-1,0,0,1,1,2,2,2
1,78,1,4,8,1,1,2,4,85,15,1,1942,-1,1,1,1,1,2,1,1
1,33,1,3,7,1,2,5,3,85,60,1,1980,-1,0,1,1,1,3,3,1
1,80,0,3,5,3,3,4,3,70,0,1,1936,-1,1,1,1,1,2,2,2
1,63,0,2,20,3,5,5,5,30,30,1,1980,-1,0,0,1,1,2,3,2
2,62,0,3,4,3,5,2,6,0,70,1,1980,-1,0,0,1,1,2,2,1
1,29,0,4,16,1,1,5,2,55,5,1,1977,-1,0,0,1,1,4,3,2
1,19,0,2,1,1,2,3,2,60,50,1,1951,-1,1,0,1,0,2,2,2
1,50,1,5,22,3,3,2,2,70,0,1,1963,-1,1,1,1,1,1,1,1
1,30,0,4,5,3,4,1,1,0,0,1,1992,-1,1,1,1,0,2,3,1
2,61,0,2,12,3,5,3,4,30,70,1,1970,-1,0,0,1,1,1,1,2
2,70,1,2,10,2,7,3,7,0,85,1,1900,-1,1,0,1,1,2,2,2
1,56,0,3,2,1,1,2,1,85,15,1,1987,-1,0,0,1,1,1,1,2
1,32,0,5,20,1,2,4,2,50,20,1,1950,-1,1,0,1,1,1,2,2
1,43,0,2,12,3,3,3,2,70,0,1,1990,-1,1,0,0,0,2,3,3
1,39,0,4,13,3,3,4,2,60,30,1,1950,-1,1,0,1,1,1,1,1
2,72,0,3,11,2,7,2,6,0,100,1,1966,-1,1,0,1,1,2,1,2
2,47,0,4,20,2,6,5,4,0,70,1,1985,-1,0,0,0,0,4,4,4
2,74,1,2,10,3,4,5,4,-9,-9,1,1965,-1,1,0,0,1,2,2,2
1,31,1,4,17,3,3,5,3,60,15,1,1956,-1,1,0,1,1,1,1,2
1,60,0,2,1,3,3,1,4,85,0,1,1950,-1,0,1,1,1,1,1,1
1,54,0,3,18,1,1,2,2,85,0,1,1966,-1,1,0,1,1,1,1,1
2,24,1,4,4,2,6,5,5,15,85,1,1960,-1,0,1,1,1,2,2,2
1,20,1,1,19,1,1,2,2,85,0,1,1900,-1,1,0,1,1,1,1,1
1,59,1,4,14,1,1,1,2,85,30,1,1896,2,0,0,1,1,1,1,5
1,47,0,5,21,1,1,4,4,75,25,1,1963,-1,0,0,1,1,3,3,4
2,61,0,3,22,2,6,4,4,-9,-9,1,1964,-1,0,0,1,0,2,2,4
1,37,1,5,16,3,3,3,3,60,10,1,1935,-1,1,1,1,1,2,2,2
2,48,1,3,18,2,7,3,6,0,60,1,1975,-1,0,0,1,1,2,2,2
2,74,0,4,11,2,7,3,6,0,60,1,1978,-1,1,1,1,1,2,2,4
2,31,1,3,13,2,7,2,6,100,100,2,1978,-1,0,0,0,1,3,3,3
2,43,0,3,17,3,4,1,4,0,70,1,1962,-1,0,0,1,1,2,4,2
1,37,0,5,19,1,1,1,1,70,15,1,1965,-1,0,0,1,1,2,2,2
2,80,1,5,10,2,7,3,6,30,100,1,1966,-1,1,0,1,1,2,2,2
1,53,0,5,17,2,6,5,5,50,60,1,1960,-1,0,0,1,1,3,2,3
2,37,1,2,17,2,7,3,7,0,85,1,1982,-1,0,0,1,1,1,1,1
1,48,1,4,1,1,2,5,4,85,0,1,1978,-1,0,1,0,1,1,1,2
1,56,1,2,19,3,3,2,5,70,2,1,1964,-1,1,1,1,1,1,1,1
1,30,0,5,6,3,5,5,6,0,0,1,1968,-1,0,1,0,0,4,4,4
1,34,0,4,21,3,3,3,3,50,50,1,1900,-1,0,0,1,1,3,3,3
1,80,0,2,6,1,1,2,4,60,15,1,1965,-1,1,1,1,1,2,2,2
1,46,1,4,22,1,2,4,4,60,10,1,1960,-1,1,1,1,1,4,3,2
2,64,1,4,17,3,5,3,5,30,60,1,1955,-1,0,1,1,1,2,2,2
1,44,0,5,17,1,2,5,2,60,0,1,1965,-1,0,1,1,1,4,4,2
1,28,1,3,8,3,4,3,4,40,30,1,1987,-1,1,1,1,1,3,2,2
1,52,1,4,21,2,7,4,4,30,30,1,1900,-1,0,0,0,1,4,3,2
2,32,1,3,21,2,7,2,6,30,85,1,1980,-1,1,1,1,1,1,1,2
1,41,1,4,17,1,1,2,2,70,0,1,1975,-1,0,1,1,1,1,1,2
1,74,1,5,17,1,1,2,2,85,15,1,1985,-1,1,1,1,1,1,1,2
2,46,0,5,16,2,7,5,7,0,70,1,1930,-1,1,0,1,1,1,1,1
1,41,0,5,12,1,1,5,2,85,0,1,1900,-1,0,0,0,1,3,3,3
2,46,0,5,11,3,5,3,6,0,60,1,1987,-1,0,1,1,1,2,2,2
2,65,1,2,8,2,7,1,7,0,85,1,1995,-1,0,1,1,1,1,1,1
1,29,0,4,5,3,4,2,3,50,30,1,1972,-1,0,0,1,0,2,2,2
1,56,1,5,17,3,3,5,4,60,15,1,1997,-1,0,0,1,1,2,2,2
1,55,1,5,20,1,1,3,2,75,10,1,1955,-1,0,1,1,1,1,1,1
1,34,0,5,1,1,1,1,1,100,0,1,1960,-1,0,0,0,1,2,3,3
2,80,0,2,1,1,2,4,5,0,100,1,1986,-1,0,0,0,1,1,1,1
1,30,1,5,19,1,2,5,1,15,0,1,1946,-1,1,1,1,1,2,1,1
1,31,1,2,9,3,3,3,2,40,0,1,1900,-1,1,1,1,1,2,2,1
1,41,0,2,13,3,3,2,2,50,30,1,1985,-1,1,1,1,1,1,2,2
1,60,1,4,9,3,3,2,1,75,0,1,1948,-1,0,1,1,1,2,2,4
1,36,1,3,3,2,6,4,4,65,15,1,1963,-1,0,0,1,0,3,3,2
1,60,0,5,19,1,1,1,3,70,15,1,1984,-1,1,1,1,1,1,1,2
2,40,1,4,10,3,5,2,4,30,40,1,1967,-1,1,1,1,1,2,2,2
2,45,1,3,10,3,4,1,4,50,50,1,1988,-1,0,0,1,1,4,2,2
1,27,1,4,1,3,4,3,4,50,50,1,1924,-1,0,0,1,1,3,3,3
2,37,0,3,1,2,7,2,6,15,85,1,1985,-1,0,0,0,1,2,2,2
2,24,0,3,7,2,6,4,4,100,100,1,1852,-1,0,0,0,1,2,2,3
1,60,0,4,22,3,5,3,4,70,70,1,1959,-1,0,1,0,1,4,4,4
1,70,1,3,4,3,3,4,4,65,25,1,1980,-1,0,1,1,1,1,1,1
1,65,0,5,20,3,3,3,2,60,30,1,1867,-1,1,1,1,1,1,2,2
1,60,1,4,17,1,1,1,2,70,50,1,1945,-1,1,1,1,1,2,2,2
1,64,1,4,22,1,2,3,2,85,30,1,1988,-1,0,1,0,0,3,3,3
2,61,0,1,10,3,5,5,4,0,100,2,1998,-1,0,0,0,1,3,3,3
1,70,1,3,4,1,1,2,4,85,30,1,1000,-1,1,0,1,1,2,2,2
2,56,0,3,2,3,5,4,4,15,85,1,1942,-1,0,0,0,1,3,3,3
2,58,1,4,21,2,6,5,5,15,70,1,1964,-1,1,0,1,1,1,2,1
1,25,0,4,10,1,1,2,1,70,15,1,2000,-1,0,0,1,1,1,1,1
1,72,0,3,1,1,1,2,2,-9,-9,1,1925,-1,1,0,1,1,1,1,1
2,71,0,4,21,2,6,3,6,15,70,1,1949,-1,1,0,1,1,3,3,2
1,40,0,4,1,2,7,2,7,70,60,1,1960,-1,0,1,1,0,1,2,2
1,49,0,3,16,1,2,3,4,60,50,1,1956,-1,0,0,0,1,3,3,3
1,57,1,4,19,1,1,1,1,90,0,1,1920,-1,0,1,1,1,2,3,3
2,42,0,2,10,2,6,5,6,50,100,1,1985,-1,0,1,1,0,4,2,2
1,23,0,4,9,1,1,5,3,70,30,1,1980,-1,0,1,0,1,2,2,2
1,34,1,3,10,3,3,5,2,60,20,1,1968,-1,0,0,1,1,2,2,3
1,54,0,4,19,2,6,5,5,50,50,1,1980,-1,0,1,1,1,3,2,2
1,54,0,3,4,1,1,3,5,75,5,1,1972,-1,0,0,1,1,3,3,2
2,30,1,5,20,2,6,4,5,0,60,1,1998,-1,0,0,0,0,4,4,1
2,58,1,3,19,2,6,5,5,0,70,1,1922,-1,1,0,1,1,2,2,1
1,75,1,5,1,1,1,2,3,85,40,1,1960,-1,1,1,1,1,1,1,1
2,71,1,4,12,2,7,3,6,0,60,1,1950,-1,0,0,1,1,2,2,1
1,44,0,4,10,3,3,5,4,50,50,1,1995,-1,0,0,0,1,2,2,3
1,75,0,3,3,1,1,1,2,100,0,1,1999,-1,1,0,1,1,1,1,1
2,26,1,3,18,2,7,3,5,10,85,1,1962,-1,1,0,1,1,2,2,2
2,69,1,3,4,2,7,2,6,15,70,1,1931,-1,1,0,0,1,2,2,2
2,46,1,2,4,2,7,3,6,0,100,1,1982,-1,0,0,1,1,2,2,2
1,30,1,3,6,3,4,5,4,50,50,1,1980,-1,0,0,0,0,3,2,2
1,33,1,3,19,3,3,3,4,50,50,1,1989,-1,0,1,0,1,2,3,2
2,72,1,3,9,2,7,3,6,0,100,1,1960,-1,0,0,1,1,2,2,2
1,31,1,3,15,1,1,4,2,60,0,1,1900,-1,1,0,1,1,1,1,3
2,80,0,4,14,2,7,3,6,0,70,1,1978,-1,1,1,1,1,2,2,2
1,26,1,4,6,2,6,5,4,60,30,1,1990,-1,1,1,0,1,2,3,2
1,34,0,5,22,1,1,4,2,70,30,1,1950,-1,0,1,0,1,2,2,2
1,66,1,5,10,1,1,1,4,70,15,1,1978,-1,1,1,1,1,1,1,2
1,63,0,3,9,3,3,3,5,60,15,1,1965,-1,1,1,0,0,2,2,3
2,60,0,2,20,2,7,1,6,0,85,1,1964,-1,1,0,1,1,1,1,1
1,27,0,4,1,1,1,2,6,100,0,1,1990,-1,1,0,0,1,2,2,3
1,22,1,4,20,1,2,4,3,65,50,1,1960,-1,0,0,0,1,2,3,3
2,42,0,2,11,3,4,3,4,30,30,1,1973,-1,0,1,1,1,3,3,2
1,80,1,4,7,1,1,2,2,85,15,1,1987,-1,1,1,1,1,1,2,1
2,39,1,3,17,2,6,3,5,30,85,1,1973,-1,0,0,1,1,2,2,2
2,76,1,4,11,2,7,2,7,15,72,1,1986,-1,1,1,0,0,2,2,2
1,44,1,3,7,1,1,2,4,40,0,1,1695,-1,0,1,0,1,2,1,2
2,59,0,3,12,2,7,2,6,0,100,1,1984,-1,0,0,1,0,2,2,2
2,66,0,3,1,2,6,3,7,0,70,1,1965,-1,0,0,1,1,1,4,1
1,35,1,4,17,1,2,5,3,50,40,1,1975,-1,0,1,0,0,3,2,2
2,47,0,3,15,2,6,4,6,30,85,1,1968,-1,1,0,1,1,2,2,3
2,19,1,2,4,2,7,1,7,0,70,1,1973,-1,1,0,1,1,1,2,1
2,38,0,3,11,3,4,1,4,30,70,1,1962,-1,0,1,0,1,3,3,2
1,41,0,4,22,1,1,3,2,60,30,1,1950,-1,0,0,1,1,2,2,2
1,22,1,2,3,1,2,5,3,55,40,1,1975,-1,0,1,0,1,2,2,2
1,20,1,3,1,1,2,4,4,70,60,1,1970,-1,0,0,1,1,2,3,2
1,48,0,5,19,1,1,3,1,70,0,1,1972,-1,0,1,1,1,1,1,2
1,72,0,4,14,3,3,4,2,70,60,1,1900,-1,0,1,1,1,2,2,2
2,69,0,3,8,3,4,5,4,15,40,1,1800,-1,1,1,1,1,1,1,1
1,48,0,2,4,1,1,5,3,50,60,1,1960,-1,0,0,0,0,1,3,3
2,37,0,5,20,1,2,5,4,60,40,1,1995,-1,1,0,0,1,3,3,2
1,24,0,4,11,1,1,3,2,49,20,1,1933,-1,0,1,0,1,2,3,2
1,37,1,4,17,1,1,4,2,85,0,1,1956,-1,1,0,1,1,1,1,1
1,68,0,3,19,1,1,1,2,70,0,1,1950,-1,1,0,1,1,1,1,2
2,70,1,4,10,3,4,3,4,15,15,1,1900,-1,0,0,1,1,1,2,2
2,80,0,4,16,2,7,2,7,0,100,1,1955,-1,1,0,1,1,1,1,2
1,60,1,2,9,3,4,3,4,70,60,1,2000,-1,1,0,1,0,3,3,3
1,58,0,5,12,1,1,2,2,70,0,1,1939,-1,1,0,1,1,3,2,2
2,58,1,4,1,2,7,5,4,0,100,1,1985,-1,0,1,0,0,2,3,2
2,23,1,2,1,3,3,3,5,50,50,1,1998,-1,0,0,0,0,2,2,4
2,47,0,1,11,3,3,5,4,70,50,1,1980,-1,0,0,1,1,1,2,2
1,48,1,4,17,1,1,3,5,70,0,1,1950,-1,1,0,1,1,1,1,1
2,66,1,5,14,2,6,3,6,50,85,1,1986,-1,0,0,1,1,3,2,2
1,47,0,4,8,3,5,3,4,30,30,1,1900,-1,0,1,1,1,3,3,3
2,67,0,4,14,2,7,2,6,15,70,1,1974,-1,0,0,1,1,2,2,1
1,40,0,3,4,1,2,4,3,85,0,1,1980,-1,1,0,0,1,2,2,2
2,74,0,2,4,2,7,3,6,0,70,1,1960,-1,1,1,1,1,1,2,2
1,38,0,4,18,3,3,5,3,60,0,1,1912,-1,1,1,1,1,1,2,1
2,35,0,5,20,2,7,4,6,25,75,2,2000,-1,1,0,0,1,2,2,4
1,51,0,5,18,1,2,4,4,60,15,1,1972,-1,0,0,0,1,2,3,4
1,74,0,5,7,1,1,2,3,100,5,1,1925,-1,1,0,1,1,1,1,1
1,19,1,2,10,1,1,2,2,80,30,1,1965,-1,0,0,0,0,2,3,2
1,70,0,3,4,3,3,1,3,85,0,1,1950,-1,1,0,1,1,1,1,2
1,56,0,5,22,2,6,4,5,40,50,1,1963,-1,1,0,1,1,2,2,3
1,62,1,3,20,1,1,5,2,70,0,1,1985,-1,1,0,1,1,1,1,2
1,27,1,4,1,1,2,5,1,30,0,1,1896,2,1,1,1,1,1,2,1
2,45,0,3,7,2,6,5,5,0,100,1,1964,-1,1,1,1,0,1,1,2
2,24,1,4,10,2,7,4,6,10,95,1,1948,-1,0,0,0,1,3,3,2
1,65,1,3,13,3,3,2,3,70,50,1,1986,-1,0,0,0,1,2,2,2
2,76,0,4,5,2,7,3,5,0,100,1,1980,-1,1,0,0,0,1,2,2
1,19,1,1,3,1,1,3,6,70,30,1,2000,-1,0,1,0,1,2,3,2
1,39,0,4,18,3,3,5,3,45,50,1,1954,-1,0,0,1,1,2,3,2
1,36,1,5,22,3,3,5,2,75,10,1,1970,-1,1,0,1,1,2,3,3
1,69,0,4,8,1,1,4,2,70,30,1,1988,-1,1,1,1,1,2,2,3
2,21,1,3,1,2,6,5,4,50,50,1,1987,-1,0,0,1,1,2,3,2
2,44,0,4,22,2,6,4,5,15,85,1,1980,-1,0,1,1,1,2,2,2
1,60,1,3,21,1,1,2,2,100,0,1,1945,-1,1,0,1,1,2,2,2
2,57,0,3,17,2,6,4,7,0,60,1,1965,-1,1,0,1,1,2,2,2
2,71,1,5,21,2,7,3,6,0,85,1,1951,-1,1,1,1,1,1,2,2
2,49,1,4,20,2,6,5,5,0,40,1,1970,-1,0,0,1,1,2,2,2
1,57,0,1,5,3,3,2,4,85,15,1,1963,-1,0,0,1,0,2,2,2
2,49,1,5,22,1,2,5,5,0,85,1,1970,-1,0,1,1,1,2,2,1
1,47,0,5,4,3,3,1,4,85,0,1,1976,-1,1,0,1,1,1,1,1
2,30,0,2,16,2,7,2,6,15,85,1,1972,-1,1,1,1,1,4,1,2
1,28,0,4,8,1,2,4,2,75,20,1,1972,-1,0,0,1,1,3,3,3
1,35,1,3,3,1,1,2,4,85,10,1,1975,-1,1,0,1,1,2,2,2
1,50,0,4,21,1,2,2,4,85,25,1,1975,-1,1,1,0,1,1,1,2
2,68,0,3,7,2,7,2,6,0,85,1,1986,-1,0,0,1,1,1,1,2
2,55,0,5,6,2,7,2,7,0,100,1,1980,-1,1,0,1,1,2,3,2
1,51,0,5,10,1,1,1,3,85,30,1,2000,-1,0,0,1,1,1,1,1
1,55,0,3,4,3,4,5,4,45,45,1,1970,-1,1,0,1,0,2,2,2
1,27,0,3,8,1,2,3,2,70,40,1,1968,-1,0,0,0,1,3,3,2
2,40,1,3,17,2,7,5,7,0,100,1,1983,-1,1,0,1,1,2,2,2
1,46,1,5,22,3,3,5,3,60,5,1,1950,-1,1,1,1,1,1,1,1
1,44,0,3,20,3,5,2,5,15,85,1,1966,-1,1,0,1,1,2,2,2
2,53,1,4,8,3,5,4,4,0,70,1,1977,-1,0,1,1,1,1,1,2
1,67,0,4,20,1,1,3,2,85,0,1,1965,-1,1,1,1,1,2,2,2
1,43,0,4,19,2,6,5,3,50,40,1,1943,-1,0,1,1,0,3,3,3
2,66,1,5,20,2,7,2,7,0,85,1,1900,-1,1,0,1,1,1,2,1
1,25,0,3,1,3,4,1,4,60,60,1,1896,2,1,1,0,0,4,3,3
2,46,0,5,17,2,6,5,6,25,75,1,1970,-1,0,1,1,1,3,3,3
2,38,1,3,8,3,4,3,6,30,75,1,1920,-1,0,0,1,1,1,2,2
1,41,1,5,8,1,1,3,2,80,5,1,1950,-1,1,1,1,1,1,1,1
1,46,1,2,18,1,1,2,2,70,15,1,1995,-1,1,0,1,1,2,2,2
1,50,1,5,20,1,2,4,2,70,20,1,1974,-1,1,1,1,1,1,2,1
2,67,0,4,6,2,7,2,6,0,100,1,1994,-1,0,0,1,1,2,2,1
1,33,0,5,19,1,1,3,2,65,15,1,1950,-1,0,0,0,0,3,3,2
1,20,1,3,21,1,1,3,2,65,10,1,1954,-1,1,1,1,1,2,2,1
2,55,0,2,9,2,7,5,6,15,85,1,1968,-1,0,0,1,1,2,3,2
1,70,1,5,21,1,1,3,2,70,0,1,1954,-1,1,1,1,1,1,1,1
2,39,0,5,22,2,7,4,6,0,60,1,1956,-1,1,0,1,1,1,4,1
2,51,0,2,22,2,7,3,6,0,85,1,1983,-1,1,1,1,1,1,2,2
2,32,1,3,1,2,7,5,5,0,85,1,1995,-1,0,0,0,0,3,3,3
2,69,1,3,15,3,5,2,5,5,90,1,1990,-1,1,0,1,1,2,2,1
2,51,1,2,9,2,6,2,4,0,60,1,1956,-1,0,1,1,0,2,3,4
1,69,1,4,13,1,1,2,2,85,0,1,1950,-1,1,1,1,1,1,1,1
1,37,1,4,6,3,4,1,4,30,0,1,1919,-1,0,0,1,1,1,1,1
2,73,0,4,15,2,7,4,6,0,70,1,1960,-1,1,1,1,1,2,2,2
1,65,0,3,8,3,4,2,2,60,10,1,1982,-1,1,0,1,1,2,3,2
1,28,0,5,2,1,2,4,2,50,0,1,1960,-1,0,1,1,1,3,3,3
2,71,1,3,14,2,7,2,6,0,100,1,1940,-1,0,1,0,0,1,3,2
2,74,1,2,22,2,7,2,5,0,100,1,1960,-1,0,0,1,1,2,2,2
1,29,1,4,21,1,1,3,3,40,15,1,1950,-1,0,1,1,1,1,1,1
1,26,1,5,17,1,2,5,3,70,60,1,1960,-1,0,0,1,1,1,1,1
1,23,0,4,13,3,3,3,1,15,0,2,1900,-1,1,0,1,1,4,4,3
1,27,1,5,12,1,2,5,3,15,0,1,1980,-1,1,0,1,1,1,1,1
2,65,1,4,21,2,7,4,5,15,70,1,1868,-1,1,1,1,1,1,2,1
1,39,0,4,1,1,1,5,2,70,0,1,1990,-1,0,1,0,1,1,2,2
2,60,0,3,20,2,7,4,6,15,85,1,1962,-1,0,0,1,0,3,3,2
1,63,1,4,16,1,1,4,2,70,0,1,1900,-1,1,1,1,1,2,2,2
2,54,0,3,1,2,7,3,4,0,70,1,2000,-1,0,0,1,0,2,3,4
1,73,0,4,14,1,1,1,2,60,-9,1,1958,-1,1,1,1,1,1,1,2
1,39,0,5,22,1,1,3,4,70,0,1,1980,-1,1,0,0,1,2,2,2
1,35,1,5,15,1,2,5,2,70,15,1,1980,-1,1,0,1,1,1,2,2
1,25,1,5,19,1,1,4,2,65,0,1,1960,-1,1,1,1,1,1,1,1
2,48,0,3,1,2,7,3,7,0,85,1,1965,-1,0,0,0,0,3,2,2
2,64,0,5,17,3,5,2,4,0,85,1,1960,-1,1,1,1,1,1,2,1
2,80,1,4,18,2,6,3,6,39,70,1,1901,-1,1,1,1,1,2,1,2
1,65,0,4,15,1,1,5,2,85,0,1,1974,-1,0,0,1,1,1,1,2
2,39,0,5,18,2,7,4,6,0,70,1,1989,-1,0,1,1,1,2,3,2
1,80,0,3,22,1,1,2,2,70,0,1,1976,-1,0,0,0,0,2,3,2
1,65,0,4,2,3,4,2,4,70,40,2,1962,-1,0,1,1,1,3,3,2
2,30,0,4,20,2,6,5,6,35,80,1,1900,-1,1,0,0,0,2,3,1
2,39,1,4,22,2,6,5,5,15,65,1,1979,-1,0,1,1,1,2,2,2
1,22,1,1,1,1,1,1,3,100,70,1,1945,-1,0,0,1,0,1,1,1
1,37,0,5,22,3,4,2,4,50,50,1,1997,-1,1,1,1,1,2,3,2
1,31,1,5,15,1,1,5,1,40,0,1,1900,-1,1,1,1,1,2,2,2
1,80,1,5,8,1,1,3,3,85,15,1,1980,-1,1,1,1,1,1,1,1
2,57,0,3,18,2,6,4,5,30,70,1,1987,-1,0,1,0,0,2,3,3
1,56,1,5,19,1,1,4,3,60,15,1,1920,-1,0,1,1,1,2,2,2
1,44,1,5,22,3,5,5,5,40,15,1,1988,-1,1,1,1,1,1,1,1
1,33,1,4,15,1,1,2,3,60,15,2,1976,-1,1,0,1,1,2,2,5
2,39,0,2,13,2,7,2,6,0,100,1,1896,1,1,1,1,1,4,4,3
2,45,0,1,15,2,7,3,6,15,85,1,1968,-1,1,0,1,1,3,2,2
1,18,1,2,17,3,3,3,4,85,15,1,2000,-1,0,0,1,1,2,2,4
1,22,0,3,2,1,2,3,1,40,0,1,2000,-1,1,0,1,1,1,2,1
2,33,0,3,1,2,6,5,4,60,60,1,1990,-1,0,1,0,1,1,1,2
1,70,0,3,15,1,1,2,3,-9,30,1,2000,-1,1,1,1,1,2,2,3
2,60,0,4,20,2,7,2,5,0,85,1,1984,-1,1,0,1,1,1,1,1
2,35,1,4,20,3,5,5,4,0,50,1,1995,-1,0,1,1,1,2,2,2
2,51,1,3,16,2,7,5,6,0,85,1,1932,-1,1,0,1,1,1,1,3
2,80,1,5,17,2,6,3,4,15,70,1,1990,-1,0,0,0,1,3,3,3
2,34,0,3,15,2,6,5,5,40,70,1,1995,-1,0,1,1,1,3,3,2
1,65,1,3,9,2,6,5,5,70,30,1,1909,-1,1,0,1,1,3,2,3
1,58,0,4,10,1,1,1,2,85,0,1,2000,-1,0,0,1,1,1,1,2
2,75,0,3,11,3,5,5,5,15,60,1,1945,-1,0,0,1,1,2,2,2
1,40,1,5,22,3,3,3,3,60,30,1,1973,-1,1,1,1,1,1,2,2
1,53,1,4,13,3,3,5,2,40,15,1,1759,-1,1,0,1,1,3,2,2
1,64,0,4,8,1,1,2,4,85,15,1,1985,-1,1,0,1,1,1,2,2
2,58,1,3,18,2,7,3,7,0,85,1,1955,-1,0,0,1,0,3,2,2
2,52,0,2,15,2,7,1,7,0,100,1,1920,-1,0,0,0,1,4,4,1
2,61,0,1,5,2,7,2,4,0,85,1,1980,-1,0,0,1,0,1,2,1
2,63,0,3,8,2,7,3,6,0,85,1,1951,-1,1,0,0,0,2,3,1
2,57,0,2,1,2,7,4,4,0,100,1,1995,-1,0,0,0,1,3,3,5
1,32,0,4,15,1,2,4,4,60,50,1,1980,-1,1,0,1,1,1,1,2
1,40,1,4,19,3,3,5,5,30,15,1,1997,-1,1,1,1,1,2,2,2
1,40,1,4,20,3,3,3,2,85,30,1,1952,-1,0,0,0,1,2,2,2
1,70,0,5,20,1,1,2,1,80,0,1,1976,-1,1,1,1,1,1,1,1
2,74,1,2,12,2,7,1,7,15,85,1,1942,-1,0,0,0,1,3,2,1
2,49,1,5,7,2,7,2,7,15,90,1,1974,-1,0,0,1,1,2,2,3
2,33,1,5,19,2,6,5,6,20,85,1,1954,-1,1,0,1,1,2,3,2
2,67,1,2,11,2,6,5,4,-9,-9,1,1900,-1,0,0,1,0,2,2,2
2,43,0,4,17,2,6,3,6,30,85,1,1970,-1,0,1,1,1,3,3,3
2,59,0,5,15,3,5,2,6,2,70,1,1990,-1,0,1,1,1,2,2,2
1,50,1,2,19,3,3,5,6,60,15,1,1970,-1,0,0,0,0,3,3,2
2,74,0,3,17,2,7,5,6,0,60,1,1900,-1,0,1,1,0,2,3,4
2,37,0,5,19,3,5,2,6,0,75,1,1999,-1,1,0,0,0,2,3,2
1,51,0,4,15,3,4,4,4,60,50,1,1997,-1,0,0,0,0,4,2,3
1,76,1,5,19,1,1,2,2,70,40,1,1972,-1,0,0,1,1,1,1,2
1,41,0,5,13,1,1,2,1,70,0,1,1950,-1,0,0,1,1,1,1,1
1,23,0,4,9,3,3,3,2,70,20,1,1980,-1,1,0,0,1,2,2,2
1,50,0,5,21,1,1,2,1,60,2,1,1964,-1,1,0,1,1,1,1,2
